accuracy,precision,recall,f1,fpr,feature_set,n_features,seed
0.9137880775397172,0.8941812033485917,0.9566310773846289,0.9243525524885431,0.1387027027027027,full_42feat,42,10
0.9137880775397172,0.8941812033485917,0.9566310773846289,0.9243525524885431,0.1387027027027027,full_42feat,42,1
0.9138002234854006,0.8941833852244376,0.9566531368569664,0.9243640161567073,0.1387027027027027,full_42feat,42,7
0.9137880775397172,0.8941812033485917,0.9566310773846289,0.9243525524885431,0.1387027027027027,full_42feat,42,42
0.9137880775397172,0.8941812033485917,0.9566310773846289,0.9243525524885431,0.1387027027027027,full_42feat,42,123
0.9256789583636982,0.9183612504000853,0.9494176299302921,0.9336312461359914,0.10340540540540541,best_17feat_shap_pruned,17,10
0.9256911043093815,0.9183629923612,0.9494396894026295,0.9336428122085078,0.10340540540540541,best_17feat_shap_pruned,17,1
0.9256911043093815,0.9183629923612,0.9494396894026295,0.9336428122085078,0.10340540540540541,best_17feat_shap_pruned,17,7
0.9256911043093815,0.9183629923612,0.9494396894026295,0.9336428122085078,0.10340540540540541,best_17feat_shap_pruned,17,42
0.9256789583636982,0.9183612504000853,0.9494176299302921,0.9336312461359914,0.10340540540540541,best_17feat_shap_pruned,17,123
