threshold,n_features,test_accuracy
0.01,26,0.9208934557644658
0.02,19,0.9198246125443327
0.03,10,0.9026259534567361
0.05,4,0.7691177185055629
0.07,2,0.8056527231210222
0.1,2,0.8056527231210222
