condition,n_features,accuracy,precision,recall,f1,fpr
top20_unpruned,20,0.9248165962201818,0.9195823685790241,0.9461969469690285,0.9326998347394972,0.10137837837837838
top20_shap_pruned_17feat,17,0.9256789583636982,0.9183612504000853,0.9494176299302921,0.9336312461359914,0.10340540540540541
