threshold,n_features,val_accuracy
0.01,26,0.9284268157061792
0.02,19,0.9275998745330634
0.03,10,0.9307080327354643
0.05,4,0.9306795175225983
0.07,2,0.9263737203798227
0.1,2,0.9263737203798227
